0.0000  (0.000,0.000) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0100  (  NaN,  NaN) (0.060,0.060) (0.160,0.020) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0200  (  NaN,  NaN) (0.020,0.160) (0.120,0.120) (0.220,0.080) (0.320,0.040) (0.420,0.000) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0300  (  NaN,  NaN) (  NaN,  NaN) (0.080,0.220) (0.180,0.180) (0.280,0.140) (0.380,0.100) (0.480,0.060) (0.580,0.020) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0400  (  NaN,  NaN) (  NaN,  NaN) (0.040,0.320) (0.140,0.280) (0.240,0.240) (0.340,0.200) (0.440,0.160) (0.440,0.020) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0500  (  NaN,  NaN) (  NaN,  NaN) (0.000,0.420) (0.100,0.380) (0.200,0.340) (0.300,0.300) (0.300,0.160) (0.300,0.020) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0600  (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (0.060,0.480) (0.160,0.440) (0.160,0.300) (0.160,0.160) (0.160,0.020) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0700  (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (0.020,0.580) (0.020,0.440) (0.020,0.300) (0.020,0.160) (0.020,0.020) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0800  (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.0900  (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)
0.1000  (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN) (  NaN,  NaN)

